Term,Frequency
unkomplizierte,1
konforme,1
Datenverarbeitung,2
Technologien,11
Innovation,20
Innovationsland,1
Starke,1
Garanten,1
Lebensqualität,1
Veränderungen,2
entfachen,1
Impulse,3
Forschungslandschaft,1
Universitäten,4
Hochschulen,5
Angewandte,1
Wissenschaften,3
HAW,3
Herz,1
Wissenschaftssystems,1
Transfer,9
Grundlagenforschung,2
Anwendung,10
exzellenter,1
vernetzen,2
Geschlechtergerechtigkeit,4
all,2
Dimensionen,3
Qualitätsmerkmale,1
Wettbewerbsfaktoren,1
Wissenschaftssystem,3
gesamtstaatlichen,1
Ausgaben,7
Entwicklung,32
3,6
Prozent,27
BIP,1
Zukunftsstrategie,3
benötigen,2
Forschungspolitik,1
Impfstoffes,1
SarsCoV2,1
Innovationspotenzial,1
Erfolg,2
anknüpfen,1
Programmlinien,1
Hightech,1
Ressortforschungen,1
missionsorientiert,1
Ergebnisse,7
Zielkategorien,1
messen,2
Forschungsprojekte,1
übergreifend,1
Gewagte,1
Forschungsideen,1
Forschungsbedarfe,1
adressiert,2
Zentrale,3
Zukunftsfelder,1
Erstens,2
Moderne,1
wettbewerbsfähige,5
klimaneutrale,4
Industrie,13
Stahl,1
Grundstoffindustrie,2
sauberer,1
Energiegewinnung,1
versorgung,2
Mobilität,21
Zweitens,2
Klima,25
Klimafolgen,1
Biodiversität,11
Erdsystem,1
Anpassungsstrategien,1
nachhaltiges,3
Landwirtschafts,1
Ernährungssystem,1
Drittens,2
vorsorgendes,1
krisenfestes,1
modernes,3
Gesundheitssystem,1
biotechnologischer,2
medizinischer,3
nutzt,1
altersabhängige,1
Erkrankungen,3
seltene,1
armutsbedingte,1
Krankheiten,1
bekämpft,2
Viertens,2
Künstlicher,1
Quantentechnologie,2
datenbasierte,1
quer,1
Sektoren,6
Fünftens,2
Erforschung,3
Weltraum,2
Meeren,1
Schaffung,7
nachhaltiger,5
Nutzungsmöglichkeiten,2
Sechstens,1
Resilienz,4
bislang,2
Verbünden,1
gezielt,7
zukunftsweisende,1
Großforschungsanlagen,1
Anwendungsgebieten,1
forschen,2
modernen,5
Förderpolitik,1
Innovationsjahrzehnt,1
Wirtschaftsstandort,1
entstehen,3
innovativ,5
gearbeitet,1
Stärkung,31
anwendungsorientierter,1
regionaler,2
überregionaler,1
Innovationsökosysteme,1
Agentur,3
DATI,1
gründen,1
mittleren,4
Organisationen,8
Förderprogramme,13
Erfolgsfaktoren,1
Perspektivisch,1
Dach,2
relevante,2
Ressorts,4
zeitlich,6
räumlich,1
begrenzte,2
Experimentierräume,3
Dienstleistungen,8
realen,1
erprobt,1
ausgewählte,1
Standorte,4
Leuchttürme,1
Spitzengruppe,1
Forschungs,2
Transferregionen,1
jeweils,3
inhaltlichen,2
Schwerpunkt,9
Innovationsregionen,1
britischem,1
Handlungsspielräume,1
nationalen,22
Rechts,5
Chance,7
führenden,3
Biotechnologie,2
mRNA,2
Impfstoff,1
Mainz,1
weltweite,2
Sichtbarkeit,3
erlangt,1
Leitfunktion,1
wissenschaftliche,7
verbunden,4
vorhandenen,3
Entwicklungspotenziale,1
zusätzlichen,6
Forschungszentrum,1
Helmholtz,1
Gemeinschaft,1
Alternsforschung,1
echten,4
Innovationsschub,1
Ausgründungen,1
Gründungsinfrastruktur,1
technologisches,1
soziales,1
Unternehmertum,3
bereitstellen,4
Ausgründungskultur,1
außeruniversitären,4
Forschungseinrichtungen,4
Breite,3
benötigte,1
Kulturwandel,2
Science,4
Entrepreneurship,1
Initiativen,8
Etablierung,3
German,2
Fund,2
verwertete,1
Patente,1
Markt,3
zugänglich,7
finanziellen,3
Sprunginnovation,1
umgehend,6
substanziell,1
laufenden,7
Wahlperiode,6
evaluieren,24
Forschungsdaten,3
ungenutzte,1
Potential,1
zahlreichen,1
Forschungsdatengesetz,1
Forschungsklauseln,1
gemeinsamen,18
wissenschaftsfreundlicheres,1
Urheberrecht,2
Nationale,18
Forschungsdateninfrastruktur,2
Forschungsdatenraum,1
Datenteilung,1
vollständig,5
anonymisierten,1
personenbezogenen,1
angewandte,1
Rückgrat,3
deutschen,29
Wissenschaftslandschaft,1
entsteht,2
gelebt,1
zukunftsfähiges,1
fort,12
Entkopplung,1
Budgetentwicklung,1
Zukunftsvertrag,1
Studium,4
Lehre,5
2022,37
analog,8
dynamisieren,6
Stiftung,12
Hochschullehre,1
Bundesprogramm,9
Konzepte,1
innovativer,1
Qualifizierungsmaßnahmen,2
Prozess,10
Kapazitätsrechts,1
Gang,1
grundständigen,1
Einführung,20
Micro,1
Degrees,1
Exzellenzstrategie,1
bewährt,3
Wettbewerbsraum,1
einmalig,3
Verbünde,1
Anträge,4
kooperative,1
Exzellenzcluster,1
erarbeiten,27
behandelt,1
Freie,4
Neugier,1
getriebene,2
Fundament,1
Forschungsförderung,3
Dynamisierung,2
Paktes,2
PFI,1
erhalten,27
Zwischenevaluation,1
Zielvereinbarung,1
herstellen,4
Mechanismen,3
entwickeln,45
Entscheidung,9
Strategieentwicklungsraum,1
umgesetzt,12
Akademien,1
perspektivisch,2
vereinbarte,2
Steigerung,2
Programmpauschalen,1
Forschungsgemeinschaft,1
DFG,1
Aufwuchsschritten,1
Vertragslaufzeit,1
Krisensituationen,1
prioritäre,1
Handlungsfelder,1
vereinfachte,1
beschleunigte,1
Bürokratie,13
Shared,1
Service,5
Synergiemanagement,1
effizientere,1
Berichtspflichten,2
Gesetzesfolgenabschätzung,1
Innovationspotenziale,1
erfassen,5
verlässliche,10
Wissenschaftszeitvertragsgesetzauf,1
Evaluation,8
Planbarkeit,1
Verbindlichkeit,4
Post,2
Doc,1
frühzeitiger,1
alternative,5
Karrieren,2
Vertragslaufzeiten,1
Promotionsstellen,1
erwartbare,1
Projektlaufzeit,1
knüpfen,4
hinwirken,2
Dauerstellen,1
Daueraufgaben,1
geschaffen,6
verbesserte,2
Qualitätssicherung,2
Promotion,1
Sorge,7
familien,2
behindertenpolitische,1
Komponente,1
verbindlich,4
Tenure,1
Track,1
Programm,17
Professorinnenprogramm,1
Förderprogrammen,3
durchsetzen,3
Best,1
Practice,1
außerhalb,5
Professur,1
2,13
Diversity,3
Governance,4
Organisationsstrukturen,1
Führung,3
Compliance,2
Prozesse,3
Internationale,2
Hochschulkooperation,1
wichtiger,6
Stellenwert,1
Wissenschaftsfreiheit,1
Schutzprogramme,2
Internationalisierungsstrategie,1
Dialog,23
Erasmus,2
Hochschulnetzwerke,1
Standorten,1
digital,12
Bologna,1
Kooperationen,7
Nachbarländern,1
vertiefen,5
attraktiv,1
administrative,1
Plattform,6
Rekrutierung,1
Spitzen,2
Wissenschaftlerinnen,3
Wissenschaftlern,1
Deutschem,1
Akademischen,1
Austauschdienst,2
DAAD,1
Alexander,2
Humboldt,3
AvH,1
Asien,2
China,10
Wissenschaftskommunikation,2
abgeschlossenes,1
Austausch,9
systematisch,3
wissenschaftlichen,8
Karrierestufen,1
Bewilligung,2
Fördermitteln,1
Wissenschaftsjournalismus,1
unabhängige,18
Entscheidungsträgerinnen,1
Entscheidungsträger,1
analoge,2
Orte,5
Forschungsmuseen,1
Dashboards,1
Citizen,1
Bürgerwissenschaften,1
III,7
ökologischen,9
legt,3
Verbraucherinnen,6
Verbrauchern,1
größte,2
Exportwirtschaft,1
Europas,10
2020er,3
tiefgreifenden,1
Transformationsprozessen,1
Dekarbonisierung,4
Einhaltung,11
Pfads,1
Transformation,26
demografischen,2
Hinzu,1
langanhaltende,1
Teile,5
stellt,10
sehen,8
ökonomischen,2
verleihen,3
Wirtschaftskraft,1
Mittelstand,9
Handwerk,9
Handel,13
Weichen,1
Jahrzehnt,5
Zukunftsinvestitionen,8
legen,26
Wettbewerbsfähigkeit,11
Effizienz,6
Aufstieg,2
erhält,1
Natur,5
essenzieller,1
Bestandteil,3
Handelns,4
17,2
Nachhaltigkeitsziele,2
Vereinten,6
Nationen,6
SDG,4
Richtschnur,2
Politik,14
Kampf,15
Artensterben,2
hohe,8
Aufmerksamkeit,1
politisches,2
zukunftsfähige,2
Landwirtschaft,11
Bäuerinnen,1
Bauern,1
ökonomisch,1
tragfähig,1
Tieren,1
regionale,14
Wertschöpfungsketten,2
Erhalt,12
ländlicher,2
barrierefreie,4
bezahlbare,4
gleichwertige,5
Stadt,9
Binnenmarkt,2
klimaneutralen,6
brauchen,17
Rolle,15
Blick,15
Innovations,3
Investitions,3
Hochtechnologieland,1
bleiben,9
Transformationscluster,1
strukturschwache,1
Industriestrategie,1
Verbindung,2
Green,5
Deal,2
Lösung,7
eingebettet,2
Carbon,5
Leakage,3
verhindert,6
heimische,1
ausreichendem,1
Maße,1
beispielsweise,4
Contracts,1
for,6
Difference,1
Klimaverträge,1
CCfD,1
Wirtschaftlichkeitslücke,1
ausgestaltet,2
Rückzahlungsphasen,1
hinreichender,1
Wahrscheinlichkeit,1
erreicht,6
europaweit,7
wirksamen,3
CO2,26
Grenzausgleichsmechanismus,1
vergleichbar,1
Entscheidend,1
WTO,3
konform,3
Exportindustrie,1
benachteiligt,1
Greenwashing,1
unbürokratisch,6
Emissionshandelssystems,1
Gründung,7
grünen,3
Wasserstoff,19
IPCEI,3
Wasserstoffnetzinfrastruktur,1
Leitmarkt,3
Wasserstofftechnologien,1
ambitioniertes,2
Update,1
Wasserstoffstrategie,2
Europäische,23
Gremien,7
Staaten,17
Klimaclubs,2
einheitlichen,10
Mindestpreis,4
Grenzausgleich,1
sichere,4
Absatzmärkte,1
klimafreundliche,5
Produkte,5
Mindestquoten,1
Beschaffung,9
Strompreise,2
Industrieunternehmen,1
konsequenter,4
Erneuerbarer,7
bekommt,1
Klimaneutralität,12
Elektrolyseleistung,1
Energiepartnerschaften,2
Derivate,1
Augenhöhe,3
Quoten,3
Leitmärkte,2
Produktion,5
grünem,3
zügigen,4
Markthochlaufs,1
Verfügbarkeit,2
ausreichend,5
bestimmte,3
Anwendungsfelder,1
begrenzen,7
Grüner,1
vorrangig,3
Wirtschaftssektoren,1
genutzt,13
direkte,2
Elektrifizierung,1
Treibhausgasneutralität,1
umzustellen,1
Fertigung,1
Recycling,5
Batteriezellen,1
Gemeinsam,19
Sozialpartnern,8
lokalen,2
Akteuren,10
Transformations,1
Qualifizierungscluster,1
Halbleiterindustrie,1
deutsche,13
Halbleiterbranche,1
entlang,2
gesamten,1
Wertschöpfungskette,3
hinreichend,1
Schlüsseltechnologie,1
zukunftssicher,2
auszubauen,2
Automobilindustrie,2
Automobilsektors,1
Verkehrsbereich,2
Arbeitsplätze,7
Wertschöpfung,9
hierzulande,1
Elektromobilität,3
Innovationsstandort,1
autonomes,2
Fahren,4
massiv,3
Ladesäuleninfrastruktur,2
15,3
Millionen,3
vollelektrische,1
Pkw,2
Schlüsselindustrie,1
zentraler,5
Bedeutung,9
Automobilregionen,1
Clusterförderung,1
Fortführung,1
Batterieprojekte,1
Ansiedelung,1
Zellproduktionsstandorte,1
einschließlich,11
Batterie,1
Generationen,7
entscheidend,1
Bundesebene,6
Kooperations,1
Dialogformate,1
Automobilwirtschaft,2
Strategieplattform,1
Mobilitätswirtschaft,1
Verkehrsverbänden,1
kommunalen,6
Spitzenverbänden,1
zuständigen,4
Bundesressorts,1
Arbeits,4
Ausbildungsplätze,1
Luft,4
Raumfahrt,2
New,2
Space,1
Raumfahrtprogramm,1
Weltraumorganisation,1
ESA,1
bewahren,3
Eigenständigkeit,1
Raumfahrtstrategie,1
Berücksichtigung,12
Vermeidung,4
Bergung,3
Weltraumschrott,1
Luftfahrtproduktionsstandort,1
Markthochlauf,3
synthetischen,2
Kraftstoffen,1
klimaneutrales,1
Fliegen,2
Auftragsverfahren,1
Luftfahrtforschungsprogramm,1
Werkzeuge,1
Prozessentwicklung,1
Materialforschung,1
Leichtbau,2
Vorauszahlungen,1
Kraftstoffe,2
leisere,1
Antriebe,2
Simulation,1
Optimierung,3
Gesamtsystems,1
Luftfahrt,2
bezüglich,5
Klimawirkung,2
Maritime,1
Technologieführerschaft,1
maritime,1
klimafreundlichen,2
Schiffsantrieben,1
Zielen,13
Maritimen,1
Agenda,6
Schiffbau,1
inklusive,10
Schiffsrecyclings,1
industriellen,1
Kern,1
Ebene,42
treten,10
Einsetzung,2
Flottenmodernisierungsprogramms,1
Vergabeverfahren,5
konsequenten,3
Einstufung,1
Marine,1
Überwasserschiffbaus,1
Forschungsschiffbaus,1
Instandhaltung,1
Neukonzeptionierung,1
maritimen,1
Bundesländern,5
anstoßen,3
Koordinierung,7
Sedimentmanagements,1
Schiffe,1
deutscher,5
Flagge,1
fahren,2
Zollabwicklung,1
Berufe,4
Wirtschaftspolitik,2
setzt,2
zukunftsorientierte,1
wettbewerbsfähigen,3
starkes,2
Hierfür,5
Beteiligungsmöglichkeiten,1
Betrieben,4
Investitionszuschüsse,1
mittlere,4
Selbstständige,6
beantragen,1
dokumentieren,2
bedarfsgerecht,9
Fachkräftesicherung,2
Duale,1
beruflichen,7
berufliche,7
Ausbildungspakts,1
Ausbildungsbotschafterinnen,1
botschafter,1
Zudem,13
Durchlässigkeit,2
beruflicher,2
akademischer,1
Zusätzlich,5
Begabtenförderung,3
Meisterausbildung,1
Kosten,20
Meisterkursen,1
briefen,1
Teilnehmer,1
Ausbildungsmarkt,1
Migrationsgeschichte,1
Förderinitiative,1
Tarifbindung,5
ehrenamtliche,2
Beteiligungen,1
Kammerwesen,1
Einzelhandel,1
stationäre,3
attraktive,4
Strukturwandel,2
reinen,1
bestehen,7
bemühen,2
Geschäftsmodellen,4
Großunternehmen,1
lokal,2
verwurzelten,1
gestützte,1
Dienstleistung,1
Förderprogramm,6
Zukunftsfähige,2
Innenstädte,2
Zentren,7
Innenstadtstrategie,1
Städtebauförderung,3
Verbesserung,10
Aufenthalts,2
Erlebnisqualität,1
Innenstädten,2
Rückzahlmodalitäten,1
Hilfen,6
Gesundheitswirtschaft,2
medizinischen,2
Fortschritts,2
birgt,1
gleichzeitig,5
Beschäftigung,6
medizinische,1
Spitzenleistungen,1
aktuell,2
Impfstoffe,2
High,1
Medizintechnik,1
made,1
Germany,1
Versorgungsqualität,2
Effizienzpotenziale,1
Gesundheitswesens,4
Weiterbildungsangebote,3
unerlässlich,2
Personalmangel,1
Gesundheitswesen,4
entgegenwirken,2
Tourismus,6
inländische,1
Wirtschaftsfaktor,1
großem,2
Zukunftspotenzial,1
nehmen,13
Tourismusstrategie,1
Tourismuspolitik,1
Tourismusstandort,1
Krise,5
klimafreundlich,1
Modernisierungsprogramm,1
Neu,2
Wiedergründungen,1
Naturlandschaften,1
UNESCO,3
Welterbestätten,1
Global,4
Geoparks,1
wichtige,10
Bestandteile,2
naturverträglichen,1
verstärkten,2
passenden,2
Wander,1
Rad,2
Wassertourismus,1
langfristigen,4
Zukunftsthemen,2
Branche,2
Meldepflicht,1
touristischen,1
Übernachtungen,1
Bundesmeldegesetz,1
Meldescheinen,1
komplett,2
erfolgen,7
Gewinnung,2
ausländischer,3
Tourismusbranche,1
Abbau,6
bürokratischer,1
up,3
Gründungs,1
Innovationsförderung,4
Gründerförderung,1
Gründungen,2
Lebenslagen,1
Förderinstrument,1
Unternehmensnachfolgen,1
offensteht,1
verabschieden,3
Migrationshintergrund,1
Finanzierungen,1
Förderungen,2
Wagniskapital,1
sicher,17
vereinfachten,1
rechtssicheren,2
junge,5
Aufträgen,1
One,3
Stop,1
Shops,1
Anlaufstellen,4
Gründungsberatung,1
förderung,1
anmeldung,1
Unternehmensgründungen,1
24,2
Stunden,4
Förderbank,1
KfW,11
Investitionsagentur,2
Co,1
Wagniskapitalgeber,1
Medizin,3
Bioökonomie,1
Kreislaufwirtschaft,6
privates,5
Kapital,6
institutioneller,1
Anleger,1
Versicherungen,3
Pensionskassen,2
Startup,1
mobilisiert,1
Investment,2
Komitees,1
Fonds,6
Beteiligungsgesellschaften,1
Anhebung,3
Steuerfreibetrags,1
Unternehmenskultur,1
Sozialunternehmen,3
Gesellschaften,8
gebundenem,2
Vermögen,4
gemeinwohlorientierte,2
gemeinwohlorientiertes,1
Wirtschaften,1
Genossenschaften,1
Integrationsunternehmen,1
Rechtsgrundlage,2
Steuersparkonstruktionen,1
ausschließt,1
Hemmnisse,5
Guthaben,1
verwaisten,1
Konten,1
Gemeinwohls,1
Zutrauen,2
Gründergeist,2
finanzierung,2
Zentrales,1
Innovationsprogramm,3
ZIM,1
Industrielle,1
Gemeinschaftsforschung,1
IGF,2
INNO,1
KOM,1
go,1
Pionierlösungen,1
IGP,1
geöffnet,1
flexibel,1
dynamisch,3
fortgeschrieben,3
Reallabor,1
Freiheitszonengesetz,1
innovationsfreundliche,1
Reallabore,2
Erprobung,1
übergreifende,1
Experimentierklauseln,2
Forschungsinstituten,1
bieten,5
regulatorisches,1
Lernen,2
Förderstrukturen,2
Entwicklungsschritte,1
Markteintritt,3
Fairer,1
Erfordernissen,1
Mittelstands,1
Aspekte,2
integrieren,3
Wettbewerbsbeschränkungen,1
GWB,3
gestärkt,12
erheblichen,3
dauerhaften,3
wiederholten,1
Verstößen,5
Normen,5
wirtschaftlichen,2
Verbraucherrechts,1
Verstöße,2
ermitteln,1
abzustellen,1
Ministererlaubnisverfahren,1
angemessene,4
Klagemöglichkeiten,2
Ministererlaubnis,1
missbrauchsunabhängige,1
Entflechtungsmöglichkeit,1
Ultima,2
Ratio,2
verfestigten,1
Märkten,3
Verpflichtung,3
marktbeherrschende,1
basierend,4
Kommunikationsgeheimnis,1
Datenschutz,4
durchgängige,1
Datenportabilität,1
Wettbewerbsbehörden,1
Mitgliedstaaten,12
Anpassung,4
Unterbindung,1
innovationshemmender,1
strategischer,1
Aufkäufe,1
potenzieller,1
Wettbewerber,1
sogenannte,3
killer,1
acquisitions,1
Bürokratieabbau,2
Abläufe,1
Selbstständigen,2
Unternehmerinnen,1
Unternehmern,1
eigentlichen,1
Bürokratieentlastungsgesetz,1
bisherigen,11
Bürokratieaufwand,1
entlastet,3
Schutzstandards,2
verzichten,2
Überflüssige,1
one,1
out,2
systematisches,1
bürokratischen,1
Aufwands,1
Gesetzen,6
regelmäßige,7
Stakeholder,3
vorsieht,3
Praxischeck,1
bürokratiearm,3
Binnenmarktes,2
erfolgt,5
Once,1
only,1
schnellstmöglich,2
beschlossene,2
Unternehmens,1
Basisdatenregister,1
gesichert,7
inwiefern,4
Aufwand,1
rein,4
Aufbewahrung,1
Belegen,1
Geschäftsunterlagen,1
verringern,4
Unnötige,1
A1,2
Bescheinigungen,1
grenzüberschreitender,2
Dienstleistungserbringung,1
rasch,1
abgeschafft,3
europäisches,5
elektronisches,2
Echtzeitregister,1
Postgesetz,1
novellieren,7
Bundesfinanzierungsgremium,1
überprüfen,20
verfolgten,1
benötigt,2
Jahreswirtschaftsbericht,1
Wohlstandsberichterstattung,1
Wohlstands,1
erfasst,2
Beratungsgremien,1
Monopolkommission,1
Unabhängigkeit,6
garantieren,3
Berichte,2
Sachverständigenräte,1
eigenständigen,2
Tagesordnungspunkt,1
Mangel,2
qualifizierten,2
Fachkräften,4
Branchen,1
Hindernisse,1
Wirtschaftswachstum,2
Sicherung,8
Gesundheit,21
Pflege,20
Betreuung,8
Gelingen,1
Fachkräftestrategie,1
Weiterbildungsstrategie,3
Wesentliche,1
Bausteine,1
höhere,5
Arbeitsmarkt,10
Gleichstellungs,2
Familienpolitik,2
älteren,2
Erwerbstätigen,2
regulären,2
Renteneintrittsalter,1
Schub,1
Fort,5
Neuorientierung,3
Erwerbslebens,1
erfordert,5
Arbeitskräfteeinwanderung,1
Einwanderungsrecht,3
bewährte,3
Ansätze,3
Fachkräfteeinwanderungsgesetzes,1
Westbalkanregelung,1
entfristen,7
Chancenkarte,1
Punktesystems,1
Säule,4
Arbeitskräften,1
Jobsuche,1
gesteuerten,1
Blue,1
Card,1
akademische,2
konkretes,1
Jobangebot,1
marktüblichen,1
Konditionen,1
Anerkennung,11
Bildungs,8
Berufsabschlüssen,1
absenken,2
absehbar,1
herrscht,1
Vergaberecht,2
professionalisieren,1
Vergabe,6
ökologisch,4
Vergabeentscheidungen,1
gefährden,6
Zugangshürden,1
Anforderungen,7
entsprechend,24
Vergaberechts,1
präzisieren,2
Systems,2
Berechnung,2
Umweltkosten,1
rechtssichere,3
anwenderfreundliche,1
Vergaben,1
Präqualifizierung,1
Vereinfachung,4
Rohstoffe,2
Lieferketten,3
Freihandel,2
Rohstoffversorgung,1
heimischen,1
Rohstoffabbau,1
Bundesbergrecht,1
Recyclings,1
Ressourcenverbrauch,1
Produktdesign,1
Recyclat,1
Genehmigungsprozesse,1
Ungebundene,1
Finanzkredite,1
Nachhaltigkeitsstandards,2
Lieferkettengesetz,2
UN,6
Leitprinzipien,3
kleinere,2
überfordert,1
unternehmerischen,1
Sorgfaltspflichten,1
unverändert,2
verbessert,7
Vorschlag,3
entwaldungsfreie,1
vorgeschlagene,1
Importverbot,2
Zwangsarbeit,1
regelbasierten,2
menschenrechtlichen,1
sprechen,2
Protektionismus,1
unfaire,4
Handelspraktiken,3
Multilateralismus,7
Welthandelsorganisation,1
Erneuerung,3
marktverzerrenden,1
Subventionen,3
Aufhebung,2
Blockade,1
Streitbeilegungsmechanismus,2
Pariser,5
Klimavertrag,1
Globalen,3
Nachhaltigkeitszielen,3
VN,22
Neuausrichtung,1
Handelsstrategie,1
künftigen,3
Handelsabkommen,1
Chile,1
Neuseeland,2
Australien,2
ASEAN,2
Indien,3
effektiven,4
Vertragsfortentwicklung,1
regulatorische,1
Entscheidungskompetenzen,1
Wettbewerbsrecht,1
Wettbewerbspraktiken,1
autoritärer,2
Regime,3
autonomen,3
handelspolitischen,1
Kreditabsicherungen,1
Exporte,1
Hermes,1
Bürgschaften,1
KMUs,2
Small,1
Ticket,1
Gleichzeitig,8
klimapolitischen,3
entgegenstehen,4
intensiven,3
US,2
Sozialstandards,2
einzutreten,1
transatlantischen,4
Wirtschaftsraum,1
globale,9
USA,5
multilateralen,3
Welthandels,1
Abkommen,5
datenschutzkonformen,1
Datentransfer,1
europäischem,2
Ratifizierung,4
Umfassenden,1
Wirtschafts,8
Handelsabkommens,1
CETA,1
treffen,12
Abschluss,6
Bundesverfassungsgericht,1
Mercosur,1
Abkommens,5
zuvor,1
Seiten,3
Partnerländer,4
umsetzbare,1
Verpflichtungen,6
Sozial,3
Menschenrechtsschutz,1
eingegangen,1
praktisch,1
durchsetzbare,1
Zusatzvereinbarungen,1
bestehender,6
Waldflächen,1
abgeschlossen,2
Ratifikation,1
EUChina,1
Investitionsabkommens,1
Rat,5
Gründen,4
zurzeit,1
stattfinden,3
Reziprozität,1
Investitionsabkommen,1
Investitionsschutz,1
Enteignungen,1
Diskriminierungen,3
missbräuchliche,3
Instruments,1
ausstehenden,1
Außenwirtschaft,1
Standortmarketing,1
Trade,1
GTAI,1
Netz,4
Außenhandelskammern,1
klar,6
definierten,1
Sicherheitsgefährdungen,1
Stromnetz,1
Breitbandnetz,1
ausländische,2
Investoren,2
Instrumentarium,2
ausreicht,1
angemessen,12
reagieren,3
Regionale,3
Wirtschaftsförderung,1
Gesamtdeutschen,1
Fördersystems,1
Gemeinschaftsaufgabe,4
Wirtschaftsentwicklung,2
betriebliche,6
Produktivitätsziele,1
aufstocken,2
50km,1
überprüft,7
Wachstumsimpulse,1
Fördersystem,2
Herstellung,2
gleichwertiger,3
dieTransformation,1
Wirtschaftsstruktur,1
auszurichten,1
Förderrichtlinien,4
Datenstandards,2
ausgewogene,3
Forschungsorganisationen,1
Neuansiedlung,1
Einrichtungen,6
gegenwärtig,1
unterausgestattet,1
Ostdeutschlands,1
jetziger,1
kommender,2
Nachhaltigkeitsstrategie,1
Maßnahmenprogramm,1
Nachhaltigkeitsstrategien,1
zielen,1
programmen,1
Regierungshandeln,3
parlamentarische,5
Beteiligungsrechte,2
gutem,2
Artenvielfalt,1
Menschheitsaufgabe,1
ethische,1
Biologische,2
natürlichen,1
Klimaschutzes,5
ambitioniert,7
Flächennutzern,1
Baustein,2
finanzieren,7
Biodiversitätskonferenz,1
finanzielles,2
Rahmens,1
erheblich,6
Konvention,5
CBD,1
Biodiversitätsstrategie,2
Schutzgebiete,3
wirksam,8
biologischen,1
NBS,1
Aktionsplänen,1
Monitoring,8
Ausweisung,2
Grünen,7
Bandes,1
Erinnerungskultur,3
begangenes,1
SED,6
Unrecht,2
Aktionsplan,15
Bundeseigene,1
Flächen,9
Außenbereich,1
sowohl,4
potenzielle,1
Windkraft,2
PV,3
Biotopverbund,1
Nationales,1
Naturerbe,3
Wildnisgebiete,1
Gewässer,2
Verfügung,14
Privatisierung,1
ausgenommen,2
Bundesanstalt,4
Immobilienaufgaben,2
übertragen,11
Eigentum,4
verpachtet,2
Bestand,2
dauerhaft,20
jeweiligen,9
Zweck,4
BVVG,2
Übertragung,1
vorbereitet,2
gelistet,1
entwickelt,1
Funktion,2
Senken,1
Naturschutzrecht,1
Naturschutzmaßnahmen,1
oberhalb,3
Mindeststandards,2
Vertragsnaturschutz,1
Spielräume,5
niederländischen,2
Agrarstruktur,2
Küstenschutz,2
GAK,4
Vertragsnaturschutzprogramme,1
forcieren,2
nationales,4
Artenhilfsprogramm,1
auflegen,4
Konflikte,4
naturverträglich,1
Betreiber,2
Insektenschutz,1
Pestiziden,3
natur,1
umweltverträglichen,1
Alternativen,5
Wilderei,1
intensivieren,5
illegalen,2
geschützten,1
unterbinden,3
Vollzug,5
Task,1
Force,1
Wildfängen,1
Heimtiermarkt,1
Zusammenleben,4
Weidetieren,1
Wolf,2
trotz,3
steigender,2
Wolfspopulation,1
auftreten,2
Fragen,8
befassten,1
Verbänden,5
institutionalisierten,1
Weidetierhaltung,1
Überarbeitung,2
Monitoringstandards,1
Anzahl,6
lebenden,1
Wölfe,1
realitätsgetreu,1
abbilden,2
europarechtskonform,3
regional,1
differenziertes,2
Bestandsmanagement,1
Natürlicher,2
Aktionsprogramm,1
Synergien,1
Renaturierungsmaßnahmen,1
Moore,2
Wälder,5
Auen,1
Grünland,1
marine,1
Küstenökosysteme,1
ausreichende,2
Energie,12
Klimafonds,2
bereit,4
Bundesnaturschutzfonds,1
Bundesprogramme,1
Moorschutz,1
Moorschutzstrategie,1
Moorschutzmaßnahmen,1
partizipativen,1
Erarbeitung,2
Entwicklungskonzepte,1
begleiten,12
Bewirtschaftungsformen,1
Paludikulturen,1
Torfnutzung,1
beschließen,2
Ausstiegsplan,1
Torfabbau,1
verwendung,1
Mittelelbe,1
Bundeswasserstraßen,1
Schifffahrtsverwaltung,2
WSV,1
Klimaanpassung,7
natürliche,1
Speicherfähigkeit,1
Meere,3
gezieltes,1
Aufbauprogramm,1
Seegras,1
Wiesen,1
Algenwälder,1
Wald,1
Folgen,5
sichtbar,1
Erreichen,4
gezielten,1
Waldumbau,1
artenreiche,1
klimaresiliente,1
überwiegend,3
standortheimischen,1
Baumarten,1
Waldbewirtschaftung,1
spielt,4
Entsprechend,5
Waldgesetz,1
Forstschädenausgleichsgesetz,1
passen,12
Intervalle,1
Bundeswaldinventur,1
Waldmonitoring,1
konkrete,5
Zertifizierungssysteme,1
hinausgehende,1
Biodiversitätsleistungen,1
honoriert,1
Waldbesitzer,1
Lage,8
versetzt,2
klimaresilient,1
weiterzuentwickeln,3
umzubauen,2
Wiederbewaldung,1
stoppen,1
Einschlag,1
alten,2
naturnahen,1
Buchenwäldern,1
öffentlichem,3
Besitz,1
Bundesbesitz,1
mittelfristig,2
FSC,1
Naturland,1
bewirtschaftet,1
Waldschutz,1
Waldrenaturierung,1
Import,3
Rohstoffen,1
Entwaldung,1
Holzbauinitiative,1
regionalen,5
Holzwertschöpfungsketten,1
Kaskadennutzung,1
Grundsatz,4
forstwirtschaftliche,1
Zusammenschlüsse,1
bundesweite,2
Präventions,2
Bekämpfungsstrategien,1
Waldbrandbekämpfungsmöglichkeiten,1
Boden,4
