Term,Frequency
bekämpfen,18
obwohl,4
Hochrisikotechnologie,1
Uran,2
angereichert,1
Brennstäbe,1
exportiert,4
Atomfabriken,1
Gronau,1
Lingen,1
schließen,11
Forschungsreaktors,1
Garching,1
hochangereichertem,1
gehört,34
beendet,7
Erbe,2
Atomenergienutzung,1
bekennen,3
verabredeten,1
Standortsuche,1
höchsten,4
Sicherheitsstandards,6
größtmöglicher,1
Beteiligung,18
Rückbau,2
Atomkraftwerke,1
schleunigst,1
Zeitverzögerung,1
höchstem,1
Sicherheitsniveau,1
Altlasten,1
nachfolgenden,1
belasten,2
Endlagerung,1
schwach,2
hochradioaktivem,1
Abfall,1
Gesamtkonzept,3
Terroranschläge,1
Zwischenlager,1
Lagerung,1
Transporte,1
streng,2
überwacht,3
vorantreiben,23
Euratom,1
Privilegierung,1
Förderungen,3
Atomanlagen,2
unsichere,2
Reaktoren,1
Deutschlands,12
genommen,6
Einspruchsmöglichkeiten,1
Laufzeitverlängerung,1
gemeinsamen,26
Haftung,6
Staaten,44
Atomunfälle,1
aussteigen,3
Mobilitätswende,12
21,4
Jahrhundert,5
neu,34
denken,6
liegt,7
Klimazerstörung,1
Verkehrstote,1
Teilhabe,47
Bundesmobilitätsgesetz,1
Verkehrspolitik,2
gesetzgebung,1
Verkehrsmittels,1
vielfältigsten,1
Bedürfnisse,7
Jugendlichen,17
Senior,1
Handicaps,1
Mobilitätspolitik,1
Mobilitätsbedürfnissen,1
Verkehrsvermeidung,1
Flächengerechtigkeit,1
Luftqualität,2
Geschlechtergerechtigkeit,10
Jahrzehnten,3
Verkehrsträger,2
einseitig,2
bevorzugen,2
Balance,4
starken,16
modernen,5
ÖPNV,13
Radfahrer,2
Fußgänger,4
gesetzliche,15
Beschleunigung,1
Ausbildungs,4
Forschungsoffensive,1
starten,7
Bahnen,2
leistungsfähige,3
verlässliche,10
Rückgrat,3
Verkehrswende,3
Deutschlandtakt,1
realisieren,5
resilienteren,1
aufeinander,1
abgestimmten,1
Bahnangeboten,1
attraktive,7
bezahlbare,3
Mobilitätsangebote,3
Großstädte,2
regelmäßig,8
Fernverkehr,1
anbinden,1
Takte,1
Regionalverkehr,1
verdichten,1
Zugverkehr,1
Stillgelegte,1
Bahnstrecken,2
reaktivieren,1
Ergänzen,1
schnelle,5
Sprinterzüge,1
Nachtzüge,1
Metropolen,1
miteinander,3
Lücken,5
Engpässe,1
sowohl,11
innerdeutschen,1
grenzüberschreitenden,3
Schienennetz,2
Bahnknoten,1
Elektrifizierung,1
Netzes,1
bundeseigene,1
Gewinne,5
chronischen,1
Unterfinanzierung,1
befreien,1
Strukturen,20
zusätzlich,7
Bahnhöfe,2
Zusammenwirken,1
Regionalisierungsmittel,2
zweckgebunden,1
Pro,3
europäische,47
angleichen,2
zuverlässig,1
finanzieren,10
Infrastrukturfonds,1
Lkw,8
Maut,4
speist,1
Trassenpreise,1
senken,7
Verkehrsverlagerungen,1
Schiene,4
verstärken,9
barrierefreien,2
Mobilitätsstationen,1
aufwerten,3
Kombination,2
Fahrrad,4
Busverkehr,1
Mitnahmemöglichkeiten,1
Fahrräder,1
Zug,4
erweitert,1
dichtbefahrenen,1
Bestandsstrecken,1
Barrierefreiheit,10
Bahnfahren,1
junge,14
Ausbildung,35
Studium,14
klimafreundlicher,3
bezahlbarer,1
Freiwilligendienstleistende,1
Soldat,6
kostenfrei,4
Deutschen,7
Deutsche,3
Konzern,1
transparenter,8
Kerngeschäft,1
Eisenbahn,2
benachbarten,1
Ausland,10
Verlagerungen,1
Bahnbranche,1
wachsender,1
Jobmotor,1
sicheren,6
Arbeitsplätzen,2
Busse,3
bieten,11
preiswerte,1
Autoverkehr,3
Fahrgastzahlen,1
verdoppeln,3
Personennahverkehr,1
attraktiver,6
innovativer,3
vollständig,7
barrierefrei,7
verknüpfen,3
Fernverkehrsnetz,1
Bike,1
Ride,1
Zukunfts,1
Mobilitätsgarantie,3
flächendeckende,7
Anbindungen,1
Finanzierungsinstrumente,2
Gemeindeverkehrsfinanzierungsgesetz,1
Ziele,14
Bussen,1
ansteigende,2
Quoten,6
Reaktivierung,1
Straßenbahnen,1
Geldbeutel,2
abhängen,6
Länder,40
Verbünde,1
Preisangebote,1
ticketlosem,1
Finanzierungsquellen,1
Umlagefinanzierung,2
erschließen,3
Fahrradland,2
riesiges,2
Potenzial,6
boomt,1
Fahrradindustrie,1
Potenziale,10
auszuschöpfen,2
Radfahren,1
attraktiv,3
überall,26
Radwege,4
Städten,12
Pendelstrecken,1
Verbindungen,1
touristische,2
hohe,14
separierte,1
Radinfrastruktur,2
Beschilderung,1
Kartierung,1
auszeichnen,1
Vision,4
lückenloses,1
Fahrradnetz,1
Anschlüssen,1
Grenzregionen,1
Empfehlungen,5
Nationalen,6
Radverkehrsplans,1
Teils,1
Anzahl,4
Wege,7
Bundesförderung,2
Beratungsangebote,6
schlagkräftiges,1
Kompetenzzentrum,2
Radverkehr,2
bezuschussen,1
Anschaffung,1
Job,3
Lastenrädern,2
Pedelecs,1
Straßenverkehrsrecht,1
geschützt,11
gleichberechtigten,3
Straßenraum,1
Verkehrswegen,2
ausgebaute,1
niederländischem,1
Baumaßnahmen,2
Fußmobilitätsstrategie,1
Verkehrssicherheit,2
Aufenthaltsqualität,1
Mobilpass,4
Autonomes,1
Fahren,3
besitzen,2
Mobilitätswirtschaft,1
Vorreiterin,1
Mobilitätslösungen,1
inklusiv,4
ausgewogen,1
Echtzeitinformationen,1
einheitliches,3
Ticketsystem,1
problemlos,1
120,2
Tarifverbünden,1
Sharing,2
Ridepooling,2
Dienste,2
integrieren,6
Sozial,2
Umweltdumping,1
ausgeschlossen,3
Vernetzung,14
Open,8
Data,5
offene,13
Schnittstellen,5
beachten,2
finanziell,18
Sozialtarife,1
ticketlose,1
Mobilitätskonzepte,1
Teilnahme,4
Endgeräte,1
autonomes,1
Rechtsrahmen,3
Schwerpunkt,3
Fahrgastrechte,1
automatisierte,1
Entschädigungsverfahren,1
angstfrei,1
fortbewegen,1
unversehrt,1
ältere,5
Behinderung,12
besondere,15
Aufmerksamkeit,3
Verkehrsplanung,1
steigen,7
öfter,2
zeitgemäße,4
Verkehrsregeln,1
sichere,24
Gestaltung,10
Verkehrsinfrastruktur,2
Neuverteilung,1
Zero,3
Toten,1
Schwerverletzten,1
Straßenverkehr,2
geschlossenen,1
Ortschaften,3
Ausnahme,1
Verhältnis,7
umkehren,1
Tempo,3
Abweichungen,1
ausgewiesen,2
Sicherheitstempo,1
130,1
km,2
Gründe,3
beispielsweise,28
Ballungsgebieten,1
herum,1
maximal,4
Unfälle,3
Fahrradfahrer,1
Innenstädten,3
Abbiegeassistenzsysteme,1
vollautomatische,1
Assistenzsysteme,2
Warnsysteme,1
voranbringen,8
Reduzierung,3
unnötigem,1
mutwilligem,1
Lärm,3
lauten,1
Motorrädern,1
Pkws,1
ausgeht,3
Automobilverkehr,1
gestiegen,1
Trendwende,1
Erreichen,1
gleichzeitig,8
emissionsfrei,4
besserer,4
Züge,2
Fußwege,2
flankierender,1
Hälfte,5
Umweltverbund,1
zurückgelegt,1
Auto,9
weiterhin,8
wichtig,10
Summe,2
digitaler,11
recycelbar,1
Hilfe,24
autonomem,1
Stärkung,30
neuer,13
Mobilitätsdienstleistungen,3
emissionsfreie,4
zugelassen,3
bereiten,2
Flottengrenzwerte,1
Quote,5
relevantem,1
Maße,2
bisherige,4
Verbrennerfahrzeuge,1
15,6
Umweltziele,1
Automobilindustrie,4
Entwicklungsarbeit,1
verlässlich,8
planen,5
Geschäftsmodelle,5
Kaufförderung,1
emissionsfreier,1
Bonus,2
Malus,2
Elektro,1
Leichtfahrzeuge,1
öffnen,6
Klimafreundliche,1
billiger,2
klimaschädliche,1
teurer,2
Umrüstung,1
bestehender,4
Verbrenner,1
Regulierung,8
verpflichtende,8
Verbraucherinformationen,1
insgesamt,9
schrittweise,13
Dieselsubvention,1
Dienstwagenbesteuerung,1
flächendeckenden,2
einheitlichen,2
Ladeinfrastruktur,1
ländlichen,14
Schnellladesäulen,1
Laden,1
flächendeckend,9
günstig,1
bequem,3
Moderne,2
jahrzehntelang,2
Straßenbau,1
Pkw,4
reißt,1
Nachhaltigkeitsziele,2
tagtäglich,2
Infrastrukturentwicklung,2
einhält,2
Fokus,9
Geh,1
Schienenwegen,1
gleichberechtigte,12
Umnutzung,2
barrierefreie,8
umweltfreundlicher,1
Verkehrsmittel,1
Vermeidung,2
resultierenden,1
Homeoffice,3
Wiederkehr,1
Nahversorgung,2
Orte,11
Stadtviertel,2
Bäume,1
Bestandserhalt,1
Bundesverkehrswegeplan,3
Ansprüchen,3
Trotz,2
Artenkrise,1
dichtesten,1
Straßennetze,1
enthält,1
hunderte,1
Straßenbauprojekte,1
Landschaften,1
zerschneiden,1
Mangel,2
Bundesnetzplan,1
ersetzen,4
Verkehrsinfrastrukturplanung,1
Erfordernissen,1
ausrichtet,2
vorgesehenen,3
Neu,1
Ausbauten,2
Bundesfernstraßen,1
reduziert,5
grundsätzliche,3
Änderung,3
bisherigen,5
standardisierten,2
Bewertungsverfahren,1
Berechnungsgrundlagen,1
Berücksichtigung,9
tatsächlichen,4
Umweltkosten,1
gründliche,2
Prüfung,5
einbezieht,3
Verbesserung,8
unzureichenden,2
Verbände,4
Abkehr,1
Finanzierungskreislauf,1
Straße,9
Wohngebiete,1
Wald,6
Wasser,12
Moore,4
Artenvielfalt,5
Angesichts,4
anstehende,2
Überprüfung,3
Bundesverkehrswegeplans,1
befindlichen,1
Abschnitte,1
umweltschädliche,2
Straßenneubau,2
Straßenausbauprojekte,1
Bedarfsprüfung,1
unterziehen,1
Abschluss,3
Projekten,5
irreversiblen,1
Fakten,3
geschaffen,6
ausufernde,1
bindet,2
anderswo,2
dringender,1
Straßenneu,1
ausbau,1
weitgehend,3
umschichten,1
maroder,1
Radwegeinfrastruktur,1
Bewertung,2
finanziellen,8
Risiken,13
Straßenbaus,1
Autobahngesellschaft,1
Straßenfahrzeuge,1
aktiven,6
Quelle,2
mindern,1
Mobil,1
Räumen,6
anspruchsvollsten,1
angewiesen,4
schränkt,1
einseitige,1
Autozentrierung,1
Autonomie,2
Kindern,28
gesetzlich,12
definierten,2
Erreichbarkeit,1
Erschließung,1
erweiterte,1
öffentlicher,11
Initiativen,16
strukturschwachen,3
regelmäßige,1
Anbindung,3
Schnellbuslinien,1
On,2
Demand,2
Verkehre,1
Dennoch,3
unverzichtbar,3
wegzudenken,1
Antriebswende,1
Paket,1
Stromspeicher,1
Keller,1
Wandladestation,1
Garage,1
Lösung,6
verfügbar,2
Errichtung,2
Stationen,1
rentablen,1
Standorten,1
Nirgendwo,1
sehnlicher,1
erwartet,1
Abgase,2
Spielen,2
Begegnungsräume,1
autozentrierte,1
klimaschädlich,1
schöner,1
lebenswerter,2
gezielt,15
anzulegen,1
verkehrsberuhigte,1
autofreie,1
Innenstädte,3
voranzutreiben,5
Grünflächen,1
Entsiegelung,2
Temporäre,1
Umgestaltungen,1
Pop,1
up,2
Bikelanes,1
erleichtert,4
Best,1
Practice,1
testen,3
Planungshoheit,1
aufteilen,2
stringente,1
Parkraumbewirtschaftung,1
explizit,2
ausgewiesenen,1
geparkt,1
Fahrradparkplätze,2
vorzugeben,1
umzuwidmen,1
angemessene,8
Bußgelder,2
Falschparken,1
Radwegen,1
Fußwegen,1
zugestellten,1
Straßenkreuzungen,1
Erfolgsmodelle,1
City,2
Nahverkehrsabgabe,1
Ausweitung,5
stationsbasierten,1
Angeboten,3
Verringerung,2
Bestands,1
zukunftsfähig,4
Fliegen,2
bringt,3
näher,2
klimaschädlichsten,1
Fortbewegungsarten,1
unbegrenzten,1
Luftverkehrs,1
Kurzstreckenflüge,1
überflüssig,1
massiv,6
Bahnangebote,1
Direkt,1
Nachtzugverbindungen,1
Wettbewerbsbedingungen,5
wiederspiegeln,1
Zahl,6
Langstreckenflügen,1
vermindern,1
privatwirtschaftliche,3
Geschäftsreisen,1
Videokonferenzen,1
entfallen,2
unabhängig,23
Treibstoffen,1
strikter,1
moderner,6
Flugzeugtechnologien,1
Beimischungsquoten,1
Anstiegspfad,1
strombasierte,1
betragen,2
Folgejahrzehnt,1
anwachsen,1
Aufbau,15
Produktionsanlagen,1
Umweltschädliche,1
abzubauen,7
fortlaufende,1
Finanzhilfen,2
Flughäfen,2
Kerosinsteuer,2
nationaler,5
innerdeutsche,1
Flüge,1
Lohndumping,1
Billigflüge,1
Flughafeninfrastruktur,1
Entwicklungen,3
Drohnen,3
messen,3
lassen,6
Fluglärm,1
Flugzeuge,2
Pflicht,12
Schallschutz,1
leisere,1
echtes,5
Nachtflugverbot,1
Gleichstellung,7
militärischen,4
zivilen,6
Novellierung,1
gesetzlichen,11
strengeren,1
Ultrafeinstaub,1
festlegen,3
Zukunftsfähiger,1
Güterverkehr,5
Tonnen,1
Gütern,4
transportiert,1
zumeist,1
endloser,2
Karawanen,1
lärmintensiv,1
verlagern,1
ertüchtigen,1
ans,3
Bahnnetz,2
anschließen,3
Güterverkehrstechnik,1
intermodale,1
Güterverkehrszentren,1
Umschlagterminals,1
kombinierten,1
Wirtschaftskreisläufe,1
Organisation,4
Logistik,2
ausufernden,2
orientierte,2
regulieren,8
entstehenden,1
Verursacher,1
getragen,3
ambitionierten,4
Flottengrenzwerten,1
Antriebe,2
absehbar,1
lokal,3
Durchsetzung,8
Arbeitszeitvorschriften,1
Arbeitsbedingungen,22
Fahrer,1
erheblich,2
Bundesamt,4
aufstocken,2
Befugnisse,2
Cargo,1
Trams,1
Verteilkonzepte,1
Cityhubs,1
Güterbeförderung,1
Meile,1
per,4
Konzession,1
umweltverträglich,2
außenhandelsorientiertes,1
international,15
wettbewerbsfähige,1
maritime,1
entscheidender,4
Seehafenkonzepts,1
Kooperation,31
Standorte,1
Konkurrenz,3
Emissionsminderungsziele,1
Einbeziehung,7
wegkommt,1
giftigen,1
stattdessen,2
Landstromanlagen,1
emissionsarme,2
Terminals,1
alternative,3
Schiffsantriebe,1
Treibstoffe,1
Seefahrt,1
Beteiligten,3
durchsetzen,14
drängen,1
weltweit,22
Modernisierte,1
Binnenschiffe,1
Gütertransport,1
liefern,2
Verantwortung,52
Wasserstraßen,2
Marode,1
Flussvertiefungen,1
Moratorium,1
Rahmen,36
Neuaufstellung,2
Bundesnetzplans,1
UN,12
Dekade,2
Wiederherstellung,1
Ökosystemen,1
stoppen,5
Biologische,2
Ökologische,4
Leitplanken,2
Barometer,1
Lebens,6
überwinden,5
massenhafte,1
Landnutzung,1
Pestizideinsatz,1
schädlicher,1
Umweltgifte,1
Glyphosat,2
untersagen,3
Verkauf,5
naturwertvollen,1
bundeseigenen,3
Entwässerung,2
Moorstandorten,1
militärische,8
Konversionsflächen,1
Verfügung,13
Schutzgebiete,2
Naturschutzkorridore,1
Gemeinsam,7
Naturschutzwirkung,1
Natura,1
2000,1
Gebiete,2
Nationalparks,2
vergrößern,2
Naturerbe,1
ausreichend,12
finanziert,8
Gelder,8
Klimafonds,1
Naturschutzmaßnahmen,1
Wildnisfonds,1
Landesfläche,1
echte,4
Wildnis,2
ungestört,1
Infrastrukturvorhaben,1
Auswirkungen,10
geprüft,6
vielfältigen,7
Kulturlandschaft,3
wertvolle,5
Landschaftselemente,1
artenreiche,2
Blumenwiesen,1
Streuobstbestände,1
Weinbau,1
Terrassen,1
Alleen,1
Einzelbäume,1
Blühstreifen,1
entlang,10
kommunalen,6
Boden,7
drastisch,1
Hektar,1
Instrumente,7
Bauen,5
jetzigem,1
Naturboden,1
Unseren,1
retten,5
Hitzewellen,3
Dürre,1
Stürme,1
bedroht,10
erleben,4
weitaus,1
größere,6
anrichtet,1
80er,1
sauren,1
Regen,2
entstanden,2
Naturnahe,2
klimastabile,1
Waldökosysteme,1
Monokulturen,2
Wasserkreislauf,2
fruchtbar,1
speichern,2
Kohlenstoff,2
reinigen,1
Lebensraum,1
zahlreicher,1
bedrohter,2
Pilze,1
Rohstoffe,5
Erholung,1
Gesundheitsvorsorge,1
gesunder,1
binden,2
herausgeholt,1
freigesetzt,1
Mindeststandards,12
Waldbewirtschaftung,1
naturnah,1
Neubewaldung,1
Bewirtschaftungsvorgaben,1
Waldbesitzer,1
qualifizierter,2
dient,4
ökonomischen,6
Mehrwert,3
Einklang,4
Waldbesitzerverbänden,1
wald,1
natur,1
tierschutzgerechte,1
Bejagungsmethoden,1
Bewirtschaftung,2
FSC,1
Naturlandstandards,1
Ökolandbau,3
zertifiziert,2
überlassen,2
Urwälder,1
Dürrejahre,1
Waldbrandgefahr,1
bundesweite,5
Präventions,2
Bekämpfungsstrategie,1
Meer,3
Artenrückgang,1
Zerstörung,4
natürlicher,1
Lebensräume,5
schreiten,1
global,6
ambitioniertes,1
Abkommen,14
Vereinten,18
Nationen,19
biologischen,1
Biodiversitätsstrategie,1
Union,21
Landfläche,1
Leitprinzipien,2
kohärente,1
Meeresbereich,1
verfolgen,11
internationale,28
Meeresstrategie,2
schärfen,1
Vollzugsdefizite,2
Regellücken,1
legale,5
Verschmutzung,2
Tankwäschen,1
verboten,6
Übernutzung,1
verhindert,8
Programme,9
Stopp,3
Entwaldung,2
Wiedereinwanderung,1
ansiedlung,1
Arten,3
Landnutzer,1
Lebensunterhalt,1
Schutzmaßnahmen,1
Gezielte,1
Artenschutzprogramme,1
Zoos,1
wissenschaftlichen,4
Instituten,2
Haltung,8
Wattenmeer,1
Buchenwälder,1
Eingriffen,2
verantwortbare,1
Manipulation,1
Ausrottung,1
Populationen,1
gentechnische,1
Methoden,2
sogenannte,5
Gene,1
Drives,1
Biomassestrategie,1
Import,1
Biomasse,1
Tierfutter,1
Flüsse,5
renaturieren,1
Renaturierung,2
Flüssen,1
Auen,3
Wäldern,1
Wiedervernässung,1
Mooren,1
biologische,1
Renaturierungsoffensive,1
Bäche,2
frei,16
fließenden,1
Elbe,1
Tideelbe,1
Fließgewässer,1
verschlechtern,2
erlaubt,3
Vorgabe,1
weiten,4
Überschwemmungsgebieten,1
Hochwasser,1
Landschaft,2
Bundeswasserstraßenverwaltungen,1
Spezifische,1
wilde,1
naturnahe,1
Seen,2
Feuchtgebiete,1
Band,2
Wasserrahmenrichtlinie,1
Moorschutz,1
Torfnutzung,1
wiedervernässen,1
großflächig,1
wirksames,5
Moor,1
Renaturierungsprogramm,1
intakten,1
Torfabbau,1
Überdüngung,2
strengen,5
genutzte,3
Moorböden,1
ökonomische,6
Perspektiven,15
nasse,1
extensive,1
Weidewirtschaft,1
Paludikultur,1
Sauberes,1
wichtigstes,1
Lebensmittel,8
Düngemittel,1
Pestizide,5
Waschmittelrückstände,1
Medikamentenreste,1
gehören,18
Grundwassers,1
Flächenbindung,1
Tierhaltung,7
Pestizid,2
Düngemitteleinsatzes,1
Kläranlagen,1
Verursacherfonds,1
Abwasserabgabe,1
Abwasser,1
Trinkwasseraufbereitung,1
Produktverantwortung,1
Hersteller,5
verbesserte,5
Genehmigungs,1
Entsorgungsvorschriften,1
Medikamente,3
Resistenzen,2
Gefahren,4
Arzneimittelrückständen,1
gefährliche,1
abbaubare,1
Schadstoffe,1
gelangen,3
Wasserrecht,1
Eintrag,2
hormonverändernden,1
Stoffen,2
Mikroplastik,3
Trinkwasserversorgung,1
gewerblicher,1
sicherzustellen,6
Wiederverwendung,1
Abwässern,1
Speicherung,1
Regenwasser,1
Wassersparen,1
Vorsorgeprinzip,3
Gewässerschutz,2
Richtschnur,1
Fracking,1
Erdöl,2
ausschließen,3
Plastikmüllflut,2
befinden,3
katastrophalen,1
droht,2
Versauerung,1
Überfischung,2
Plastikmüll,3
Einhalt,1
gebieten,1
verbindliches,3
Plastikvermüllung,1
Müllvermeidungszielen,1
Bergung,1
Munitionsaltlasten,1
Ostsee,2
umweltverträgliches,1
Abfischen,1
Müll,7
Erdölförderanlagen,1
Nordsee,1
treten,19
ölhaltigen,1
Bohrschlamm,1
Bohrabfällen,1
Abfackelung,1
giftige,3
Stoffe,2
fossiler,2
Energieträger,2
Ausschließlichen,1
Wirtschaftszone,1
sofortigen,2
Gasbohrungen,1
Förderende,1
Gasförderung,1
Kies,1
Sandabbau,1
Schutzgebieten,1
Raubbau,4
Südens,12
Importstandards,1
Fischbestände,1
stabilisieren,1
Fischer,1
Perspektive,9
Fangquoten,1
Fischereiabkommen,1
anpassen,7
Schonzeiten,1
ausdehnen,1
Fischerei,3
umwelt,3
artenschonende,1
Fangmethoden,1
schnellstmöglicher,1
Grundschleppnetzfischerei,1
naturschutzgerechte,1
Stellnetzen,1
Fischereisubventionen,1
Meeresnutzung,1
Fischereibetriebe,1
wichtiger,11
Aquakultur,1
auskömmlich,2
honorieren,1
transparente,3
Kennzeichnung,4
lebendige,4
Weltmeere,1
Rahmenrichtlinie,1
Tiefseebergbaumoratorium,1
Ausweisung,2
großflächigen,1
nutzungsfreien,1
Meeresschutzgebieten,1
Mülls,1
Mehrweganteil,1
Getränken,1
sinkt,3
Einwegbecher,1
Minuten,1
bevor,2
Ausgediente,1
Handys,2
Tablets,4
verstauben,1
Schubladen,1
wiederverwendet,2
recycelt,3
Waste,1
Ressourcenverschwendung,1
Müllverursachende,1
Konzept,5
ganzheitlich,2
Design,2
Herstellung,6
Entsorgung,1
Produkten,4
Unerwünschte,1
sogar,3
Plastikfolie,1
eingepackte,1
Werbung,2
Briefkästen,1
komplizierte,2
Pfandsystem,2
entwirren,1
Flasche,1
Pfandautomaten,1
passen,2
To,1
go,1
Mehrwegbecher,1
Mehrweg,1
Transport,1
Online,13
Einkauf,1
Lebensmittelverpackungen,2
weites,2
Ressourcenschätze,1
Elektrogeräten,2
Kreislauf,2
finden,14
Pfand,1
energieintensive,1
Akkus,1
Lizenzgeld,1
Plastikverwertung,1
Ressourcenabgabe,1
Ausgestaltung,3
Müllsammlung,1
Position,2
Verpackungsgesetz,1
Wertstoffgesetz,1
vorteilhaften,1
Mehrwegprodukten,1
einräumt,1
Müllvermeidung,1
hochwertiges,1
Recycling,1
fördert,6
Kunststoffsorten,1
Verbundstoffe,1
giftfrei,2
Biowertstoffe,1
Verbrennung,1
verwertet,1
hochwertig,2
vorteilhafter,1
wegzuwerfen,2
Normal,1
Giftfreie,1
Plastik,2
Schadstoffrückstände,1
mittlerweile,2
Körpern,1
Weltgesundheitsorganisation,5
sieht,3
hormonstörenden,1
Chemikalien,3
Gesundheitsbedrohung,1
Erkrankungen,4
Krebs,1
Diabetes,1
Allergien,2
ungewollte,2
Kinderlosigkeit,1
auslösen,1
Alltagsprodukten,1
verbannen,1
Chemikalienbereich,1
dringend,14
minimiert,3
Kosmetika,1
Pflegeprodukten,1
Besonderes,1
Augenmerk,2
Spielzeug,1
Kinderpflegeprodukte,1
Alltagsprodukte,1
Textilien,1
Möbel,1
Elektronik,1
Frankreichs,1
folgen,4
nachgewiesen,1
Bisphenol,1
Kochgeschirr,1
polyfluorierte,1
Kohlenwasserstoffe,1
Papier,1
Pappe,1
verbieten,7
importierte,1
Güter,6
Giftstoffe,1
kontrollieren,2
Produktkennzeichnung,1
Produktrückrufe,1
gesund,3
Saubere,2
Atmen,2
Kohlekraftwerken,1
Ölheizungen,1
krank,3
Schlimmer,1
Berechnung,2
Umweltagentur,1
sterben,2
000,18
vorzeitig,1
Luftverschmutzung,1
verursachte,1
Krankheiten,9
Solar,1
Grenzwert,1
Luftschadstoffe,1
Grün,2
Emissionsquellen,1
Blick,16
nehmen,15
Zusammenhang,5
Entscheidung,8
Feuerwerk,1
Einzelnen,3
regeln,9
hingehört,1
Klimaanpassung,2
verändert,3
Zusammenlebens,1
erhitzt,2
Stürmen,1
längst,4
unserem,13
spürbar,4
treffen,8
härtesten,1
schwierigsten,1
Umständen,1
Erderhitzung,1
Veränderungen,7
Forstwirtschaft,1
Tourismus,8
Ernteausfälle,1
Starkregen,1
wappnen,1
Hitzeaktionsplänen,2
Stadtumbau,1
Stadtgrün,2
Bodenentsiegelung,1
Frischluftschneisen,1
Gebäudebegrünung,1
Wasserflächen,2
Trinkbrunnen,1
Schwammstädte,1
Sommer,2
kühlend,1
Balkon,1
Garten,2
Dachgärten,1
Klimaanlagen,1
Büros,1
Stadtwälder,1
spenden,1
Schatten,1
frische,1
Verbesserungen,2
Baurecht,1
Städtebauförderung,3
helfen,14
umzusetzen,5
wichtigere,1
vorhandene,4
Gärtner,1
Kleingärtner,1
Verbündete,1
gewinnen,2
Lichtverschmutzung,1
schädigt,2
wesentlich,3
Verschwinden,1
Insekten,1
fit,8
versöhnen,1
Verständnis,2
Kreisläufen,1
orientiert,6
Ressourcenschutz,1
fruchtbare,1
kohlenstoffspeichernde,1
sauberes,1
intakte,1
faires,1
Auskommen,1
Landwirt,3
gesunde,4
Ernährung,5
Insbesondere,5
Betriebe,14
notwendigen,9
pragmatische,2
Leitbild,4
weiterentwickelnde,1
Prinzipien,6
Tiergerechtigkeit,1
Gentechnikfreiheit,1
chemisch,3
synthetischen,2
Pestiziden,5
umfangreich,1
Voraussetzungen,10
Lebensmittelhersteller,1
Agrarforschung,1
Ökologisierung,1
Fruchtfolgen,1
widerstandsfähige,1
Anbausysteme,1
Agroforst,1
robusten,2
Pflanzensorten,1
Tierrassen,1
Stickstoffüberschüsse,1
entsprechender,4
Konzepte,6
kleineren,3
Betrieben,6
offenstehen,1
synthetischer,1
Dünger,1
Kleinbäuer,1
Dumpingexporte,1
patentiertes,1
Saatgut,4
Landraub,1
Abhängigkeit,6
getrieben,2
Nahrung,2
garantiert,7
kleinbäuerliche,1
Agrar,3
Entwicklungspolitik,2
Agrarwende,1
Öffentliches,1
Leistung,5
Gemeinsame,6
Agrarpolitik,4
Industrialisierung,1
Ausgangspunkt,3
Gesellschaftsvertrag,1
Geldern,4
Tierschutz,4
Spielräume,6
bevorstehende,1
Förderperiode,1
bestmöglich,5
Direktzahlungen,1
Gemeinwohlprämie,1
honoriert,1
innovative,9
Agrarumweltförderung,1
agrarökologische,1
gedacht,4
2028,1
Zweckbindung,1
herunterzufahren,1
menschlichen,3
wichtigste,1
Hebel,3
Rückgang,1
Pestizidabhängigkeit,1
machbar,2
systematische,4
Pestizidreduktionsstrategie,1
Sofortverbot,1
umwelttoxische,1
Wirkstoffe,1
häufig,9
eingesetzte,1
Pestizidabgabe,1
wirksamen,3
Trinkwasser,1
Ausbringung,1
Naturschutzgebieten,1
Trinkwasserschutzgebieten,1
flächendeckendes,1
Pestizidmonitoring,1
Betroffene,9
Export,1
aufgrund,12
Gesundheitsrisiken,2
Zulassungsverfahren,2
Unabhängigkeit,7
Pflanzenschutz,2
umfassendes,4
kombiniertes,1
Forschungs,7
Umsetzungs,1
Beratungsprogramm,1
Vielfältiges,1
Patente,2
gerechte,7
beginnt,2
Biodiversitätskrise,3
Züchtung,2
Sorten,1
ökologisches,1
alternativen,1
Ansätzen,2
traditionelle,1
Züchtungsverfahren,1
Technologie,6
Umgang,11
gentechnischen,1
einerseits,6
andererseits,5
Anwendung,8
europäisch,14
verankerten,3
festhalten,2
Risikoprüfungen,1
umfassender,5
wissenschaftlicher,5
Basis,10
unkontrollierbare,1
Verbreitung,2
ausschließt,1
gentechnikfreie,2
Wahlfreiheit,3
nötig,17
Risiko,3
Nachweisforschung,1
Patentrecht,1
Lebewesen,2
genetischen,1
Gerechte,1
Dumpingpreise,1
Lebensmitteln,5
Erzeugerpreis,1
Konzentration,2
Lebensmittelbranche,1
vorgehen,5
Wettbewerbs,4
Kartellrechts,1
Richtlinie,4
unlautere,1
Handelspraktiken,1
Junglandwirt,1
Neueinsteiger,1
Bodenspekulation,1
Ausverkauf,2
Bodenverwertungs,1
verwaltungs,1
GmbH,1
privatisiert,1
ortsansässige,1
bäuerliche,1
Existenzgründer,1
verpachtet,1
naturfreundlich,1
bewirtschaften,1
Share,3
Deals,3
